exe,category,product,use_hint
chrome.exe,Browser,Google Chrome,Mixed
msedge.exe,Browser,Microsoft Edge,Mixed
firefox.exe,Browser,Mozilla Firefox,Mixed
brave.exe,Browser,Brave,Mixed
opera.exe,Browser,Opera,Mixed
opera_gx.exe,Browser,Opera GX,Mixed
vivaldi.exe,Browser,Vivaldi,Mixed
maxthon.exe,Browser,Maxthon,Mixed
waterfox.exe,Browser,Waterfox,Mixed
palemoon.exe,Browser,Pale Moon,Mixed
seamonkey.exe,Browser,SeaMonkey,Mixed
avastbrowser.exe,Browser,Avast Secure Browser,Mixed
avgbrowser.exe,Browser,AVG Secure Browser,Mixed
ccleanerbrowser.exe,Browser,CCleaner Browser,Mixed
yandex.exe,Browser,Yandex Browser,Mixed
arc.exe,Browser,Arc Browser,Mixed
sidekick.exe,Browser,Sidekick,Mixed
wavebox.exe,Browser,Wavebox,Mixed
station.exe,Browser,Station,Mixed
ferdium.exe,Browser,Ferdium (electron web apps),Mixed
franz.exe,Browser,Franz,Mixed
webcatalog.exe,Browser,WebCatalog,Mixed
msedgewebview2.exe,Web Runtime,WebView2 Runtime,System/Work
webviewhost.exe,Web Runtime,WebView Host,System/Work
applicationframehost.exe,Web Runtime,Windows UWP Host,System/Work
runtimebroker.exe,Web Runtime,Windows Runtime Broker,System/Work
electron.exe,Web Runtime,Electron app (generic),System/Work
searchhost.exe,Web Runtime,Search Host,System/Work
teams.exe,Collaboration,Microsoft Teams (classic),Mixed
ms-teams.exe,Collaboration,Microsoft Teams (new),Mixed
ms-teams_modulehost.exe,Collaboration,Microsoft Teams calling module host,Mixed
slack.exe,Chat,Slack,Mixed
discord.exe,Chat,Discord,Mixed
zoom.exe,Meetings,Zoom,Mixed
ciscojabber.exe,Chat/VoIP,Cisco Jabber,Mixed
webex.exe,Meetings,Webex,Mixed
skype.exe,Chat/VoIP,Skype,Mixed
whatsapp.exe,Chat,WhatsApp Desktop,Mixed
signal.exe,Chat,Signal Desktop,Mixed
telegram.exe,Chat,Telegram Desktop,Mixed
wechat.exe,Chat,WeChat,Mixed
line.exe,Chat,LINE,Mixed
viber.exe,Chat,Viber,Mixed
outlook.exe,Email/Calendar,Microsoft Outlook (classic),Mixed
olk.exe,Email/Calendar,Microsoft Outlook (new),Mixed
thunderbird.exe,Email/Calendar,Mozilla Thunderbird,Mixed
emclient.exe,Email/Calendar,eM Client,Mixed
